Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nn,00401016,9,"Sunday, January 27, 2013 04:45:19 UTC",37.2587,-114.0717,1.9,7.20,19,"Nevada"
ak,10645564,1,"Sunday, January 27, 2013 04:16:45 UTC",62.1046,-150.7022,1.7,73.20,13,"Central Alaska"
hv,60459531,2,"Sunday, January 27, 2013 04:15:57 UTC",19.4065,-155.2635,2.3,14.50,52,"Island of Hawaii, Hawaii"
ak,10645555,1,"Sunday, January 27, 2013 04:14:35 UTC",63.5132,-150.8324,1.6,0.00,11,"Central Alaska"
ci,15278009,0,"Sunday, January 27, 2013 04:07:44 UTC",32.9112,-116.2460,1.3,6.50,34,"Southern California"
us,c000ewb3,7,"Sunday, January 27, 2013 04:05:42 UTC",-5.1704,102.9402,5.0,58.10,75,"southern Sumatra, Indonesia"
ci,15278001,0,"Sunday, January 27, 2013 03:54:27 UTC",35.5633,-118.5257,1.7,0.20,18,"Central California"
hv,60459521,1,"Sunday, January 27, 2013 03:50:13 UTC",19.2960,-155.3797,1.7,4.10, 8,"Island of Hawaii, Hawaii"
hv,60459516,5,"Sunday, January 27, 2013 03:43:56 UTC",19.9247,-155.5365,3.2,21.10,72,"Island of Hawaii, Hawaii"
ak,10645533,1,"Sunday, January 27, 2013 03:25:17 UTC",62.1638,-149.5764,1.6,42.90,12,"Central Alaska"
ak,10645528,1,"Sunday, January 27, 2013 03:18:17 UTC",63.2917,-149.2427,2.1,0.00,28,"Central Alaska"
us,c000ewax,6,"Sunday, January 27, 2013 03:17:57 UTC",34.2925,-106.7086,2.9,5.00,25,"New Mexico"
ci,15277993,0,"Sunday, January 27, 2013 02:47:04 UTC",33.6293,-116.6872,1.5,16.60,60,"Southern California"
ci,15277985,0,"Sunday, January 27, 2013 02:25:12 UTC",32.9282,-116.3680,1.5,5.50,12,"Southern California"
nc,71929446,0,"Sunday, January 27, 2013 02:24:30 UTC",37.5777,-122.5130,1.2,8.40,11,"San Francisco Bay area, California"
ci,15277977,0,"Sunday, January 27, 2013 02:17:27 UTC",33.0542,-116.4355,1.0,7.00,26,"Southern California"
nc,71929426,1,"Sunday, January 27, 2013 01:55:51 UTC",36.8237,-121.5548,2.8,5.40,58,"Central California"
nc,71929411,1,"Sunday, January 27, 2013 01:23:15 UTC",38.7873,-122.7625,1.5,1.20,23,"Northern California"
us,c000ewag,4,"Sunday, January 27, 2013 00:56:18 UTC",-44.6350,37.4337,4.8,15.20,21,"Prince Edward Islands region"
hv,60459466,2,"Sunday, January 27, 2013 00:34:27 UTC",19.3460,-155.0892,2.5,6.90,35,"Island of Hawaii, Hawaii"
pr,13027000,0,"Sunday, January 27, 2013 00:29:54 UTC",18.0025,-65.6183,2.4,18.00, 5,"Puerto Rico region"
us,c000ewaa,5,"Sunday, January 27, 2013 00:27:18 UTC",-9.5294,121.8910,4.9,59.50,55,"Savu Sea"
nc,71929386,0,"Sunday, January 27, 2013 00:24:22 UTC",36.2972,-120.8725,1.0,5.50, 8,"Central California"
ak,10645501,1,"Sunday, January 27, 2013 00:04:28 UTC",60.1621,-150.5398,2.6,35.10,12,"Kenai Peninsula, Alaska"
ak,10645497,2,"Sunday, January 27, 2013 00:04:18 UTC",61.6813,-151.5137,2.2,74.60,23,"Southern Alaska"
ak,10645491,1,"Saturday, January 26, 2013 22:47:33 UTC",63.2819,-152.3386,1.3,9.40, 4,"Central Alaska"
nn,00400996,9,"Saturday, January 26, 2013 22:13:21 UTC",38.1572,-118.0367,1.7,7.60,12,"Nevada"
